category,Statements
happy,esh bar ka summer the best tha
angry,sala chutiya hai log
neutral,I just came back yesterday from California
happy,family ke sat califonia gumane me maza aya
happy,ghar ke sab logo ko thankyou mera sat rhane kaliye
happy,E1 I love ya EICON1
surprise, meri papa ne mere liya bike kharidkhar surprise diya
happy,sab logo ka thankyou mera bday me ane ke liye
happy,EICON1 ko bhaut sare gifts mile bday par
happy,sob ko thankyou
happy,cake kha kar maja aa gaya
happy,aaj mere cute baby ane vala hai hospital se
happy,votho bahut  adorable hai
happy,aaj park me bhaut maje kiya
happy,aaj friends ke sat maja aaa gaya
happy,sub friends ko sukriya
sad,me apni mom ko miss kar rahahu
happy,mumy papa apko mere payar
angry,tume joot khatey huye shame nahi ati
happy,yar yek bar hug kar le yaara
surprise,ya tho badiya chis hai thanks for the gift
happy,me sub ko payar kartha hu
sad,aaj kal din acche nahi chal raha hai
sad,mere confidence day by day kum ho raha hai
happy,aaj kal me apneapuko Aki-sama XD  bula raha hu It's fun
happy,kitna acha country hai yar
happy,kal mera bday bhau ache se mana ya gaya
happy,bhhut din ke bad childwood friends ke sat mil kar kushi huhi
happy,novtel hotel me esbar stay kiya maaja aaa gaya
happy,ghar jada papa ke village me kushi ati hai
happy,Octoberfest bahut accha tha
happy,mere work se sub log kushi hai
happy,aaj friends ke sat maja aaa gaya
happy,tumera luck and hardwork ne kam kardiya tum pass ho gaye
sad,harana start ho gaya
sad,Sadness Dept: Just heard on NPR that Gillo Pontecorvo died
surprise,mera brother ne surprise bday plan kiya mera bday me
surprise,hayran ho gaya gift ko dekhaka
sad,border me sanik mare gaye hai sun kar bhut dukhi huaa
happy,srk se photograph lekar bahut kushi mili
happy,dad ke bday par car psent kiay
happy,yatho fantastic ha yar
happy,yar good goodu goodu
happy,hamri family bahut achi hai
happy,achi bat hai solay remake ho raha hai
angry,tune etana angrying kam kyse kiya
angry,yar tu entnaa angryy mut kar
happy,happy new year sabko
happy,yar tubhi naaa lol
happy,gf ke sat naach raha tha bahu haapy tha yar
happy,tu bada cooooool banda ha yar
happy,ye song muje mast lagati hai
happy,dance aswome tha uske sat gana majedar tha
happy,accha laga tume mil kar
happy,kya kool ha tuu bc
happy,kya kubsurtsi night ti vo
happy,Hahaha haha
happy,kya kubsurtsi night hai
surprise,mushe belive nahi hota vo aa gayi hai
happy,thank you yar
angry,sonu zen yehi bjp h dosto muh se ganda bolne wali party
angry,  hell  i dnt y ppl make assumptions  thrgh dressing style
happy,  wow  Ur so sweet  Kitna pyr krne wala kash mjhe b mil jae
angry,  bhag sala bakwas post update karke tym waste krta hai
happy,  jab tak happy ending na ho to picture abhi baki h mere dost
sad,  HAT BC ye PanOooti mt mara kr re ab dubara mjhe dawai le na pdega
happy,  FOOD security bill pass acchi baat hai Congress k accoeding desh k 80 carore logo k liye  hai
sad,  Nd agree to vikas  gandhi k wajeh se azaadi delay hui thi  guyz pehle puri true history padho thn aakar comment nd confession krna  jaago
angry,  I am ashamed of being in such country where 80 percnt majority has no voice
sad,  aaj din acha nahi that
happy,  aaj din acha tha
happy,  me tuje payar karti hu
fear,  Koi to rok lo ise wrna ye dunya tabah kr dega
happy,   Apne lips pe lipstik ki jagah poison chipka leti to maza ata
fear,   to prblm kya h agr tum log pyr krte o to
sad,   I am from IIT and yahan bhi hostels mein chori hoti hai
happy,   aamir khan ki prem kahani
angry,  Those guys who are cracking jokes on confessor are simply sick
sad,  Kya yaar frst time koi cnfssn padha wo b bkwaas nikla
fear,  bhag bhag re bhag upa narendra modi ji aye
happy,   My best moments at IITB were while peeing standing at the skydeck on 6th floor of H 4  aiming towards some poor chap sleeping on the 4th
sad,  ap use bol q ni dete english m apko thoda problm h smjhegi agr lv krti h to
happy,  U only shared here nd allowd lots of people to make fun of you
happy,  jay prakash ray correct hai sir
happy,  india ki best opening jodi
sad,  yaar tum ladke inne senti krne wale kaam kyu krte ho
sad,  iphone battery backup bakwass hai mut kharidana
happy,  moto g3 acha phone yaa
happy,  funny shayari sms for friends
happy,  ye India hai Boss  proud to be an Indian ;
happy,  arey theek hai  jab parents apko successful dekhengey  at d end  unko ye bhi yaad nahi rahega ki english li thi  so go wd it
happy,  dil ke armaan aansuon mein beh gaye
happy,  wow  admin tune joke crack kiya h
happy,  funny shayari sms for friends
sad,  dil ki tanhai ko awaz bana letay hain lyrics meaning
fear,  Coz pappu cant dance saala  Gucci ka perfume lagata h sala p D
fear,  you are not confident in yourself and dont appreciate yourself
happy,  shikhar dhawan ne banaya record ICC 20 3
happy,  federer french open se bahar breaking news
angry,  really jealous from modi
happy,  He got brave heart
sad,  ricky ponting par ban ICC
happy,  life is beautiful
happy,  pk movie ka review acha thachalo dekhna chale
happy,  esh sem ke marks acha aya
